Localidade / Cultura,Área Plantada (hectares),Participação no DF (%),Producão (toneladas),Participação no DF (%).1,Produtores,Unnamed: 0,Unnamed: 1,Participação no ESLOC (%),Participação no DF (%),Participação no ESLOC (%),Participação no DF (%).1,Producão   (toneladas)
Laranja,"6,70",,"201,94",,21.0,,,"3,74","6,96","5,79","9,61",
Goiaba,"3,47",,"89,70",,5.0,,,"1,94","0,80","2,57","1,43",
Rio Preto,"143,07",,"2.506,65",,,,,"100,00","6,08","100,00","6,23",
Subtotal,"142,65",,"2.506,35",,,,,"99,70",,"99,98",,
Abacate,"89,56",,"1.211,00",,30.0,,,"62,59","19,58","48,31","18,16",
Tangerina,"19,91",,"604,84",,27.0,,,"13,92","11,50","24,13","18,40",
Banana,"15,73",,"252,76",,16.0,,,"10,99","4,57","10,08","4,08",
Limão,"11,48",,"343,24",,18.0,,,"8,02","4,25","13,69","5,13",
Maracujá,"3,97",,"78,90",,13.0,,,"2,77","3,13","3,15","2,01",
Jabuticaba,"0,50",,"2,00",,1.0,,,"0,35","9,99","0,08","8,47",
Manga,"0,50",,"8,00",,1.0,,,"0,35","0,54","0,32","0,72",
Pitaia,"0,50",,"4,00",,1.0,,,"0,35","1,41","0,16","1,54",
Graviola,"0,50",,"1,25",,1.0,,,"0,35","1,58","0,05","1,51",
Laranja,"0,01",,"0,36",,1.0,,,"0,01","0,01","0,01","0,02",
São Sebastião,"29,13",,"258,55",,,,,"100,00","1,24","100,00","0,64",
Subtotal,"26,84",,"256,92",,,,,"92,15",,"99,35",,
Maracujá,"10,72",,"73,19",,23.0,,,"36,81","8,45","28,31","1,86",
Manga,"5,24",,"52,24",,64.0,,,"17,99","5,63","20,20","4,72",
Banana,"5,14",,"74,41",,188.0,,,"17,65","1,50","28,78","1,20",
Limão,"2,85",,"30,44",,98.0,,,"9,77","1,05","11,77","0,46",
Maracujá Pérola,"1,38",,"13,25",,6.0,,,"4,74","12,75","5,12","8,93",
Tangerina,"0,47",,"3,52",,25.0,,,"1,61","0,27","1,36","0,11",
Abacate,"0,44",,"4,81",,89.0,,,"1,51","0,10","1,86","0,07",
Laranja,"0,34",,"3,24",,65.0,,,"1,17","0,36","1,25","0,15",
Abacaxi,"0,13",,"1,02",,21.0,,,"0,45","21,31","0,39","11,25",
Pitaia,"0,13",,"0,80",,4.0,,,"0,45","0,37","0,31","0,31",
Sobradinho,"270,76",,"3.615,21",,,,,"100,00","11,51","100,00","8,99",
Subtotal,"218,05",,"3.431,15",,,,,"80,55",,"94,92",,
Banana,"94,08",,"1.555,92",,266.0,,,"34,75","27,36","43,04","25,11",
Abacate,"26,42",,"421,94",,159.0,,,"9,76","5,78","11,67","6,33",
Manga,"23,68",,"366,88",,108.0,,,"8,75","25,42","10,15","33,14",
