Localidade,Cultura,Área Plantada (hectares),Participação no DF (%),Producão (toneladas),Participação no DF (%).1,Produtores,Participação no ESLOC (%),Participação no DF (%),Participação no ESLOC (%),Participação no DF (%).1,Producão   (toneladas)
São Sebastião,Sobradinho,"270,76",,"3.615,21",,,
Sobradinho,Banana,"94,08",,"1.555,92",,266.0,
Sobradinho,Abacate,"26,42",,"421,94",,159.0,
Sobradinho,Manga,"23,68",,"366,88",,108.0,
Sobradinho,Limão,"20,55",,"408,20",,113.0,
Sobradinho,Uva,"16,00",,"193,50",,20.0,
Sobradinho,Tangerina,"13,16",,"232,68",,42.0,
Sobradinho,Maracujá,"11,16",,"124,72",,31.0,
Sobradinho,Mirtilo,"5,22",,"40,40",,15.0,
Sobradinho,Laranja,"4,16",,"47,96",,49.0,
Sobradinho,Maracujá Pérola,"3,62",,"38,95",,7.0,
Sobradinho,Tabatinga,"87,25",,,,,
Tabatinga,Abacate,"32,80",,,,23.0,
Tabatinga,Limão,"19,50",,,,15.0,
Tabatinga,Maracujá,"17,50",,,,4.0,
Tabatinga,Tangerina,"14,50",,,,13.0,
Tabatinga,Banana,"0,60",,,,2.0,
Tabatinga,Goiaba,"0,50",,,,1.0,
Tabatinga,Maracujá Pérola,"0,50",,,,1.0,
Tabatinga,Pitaia,"0,50",,,,1.0,
Tabatinga,Manga,"0,50",,,,1.0,
Tabatinga,Uva,"0,35",,,,1.0,
Tabatinga,Taquara,"62,45",,,,,
Taquara,Banana,"27,19",,,,21.0,
Taquara,Tangerina,"9,00",,,,18.0,
Taquara,Abacate,"8,46",,,,21.0,
Taquara,Maracujá,"6,67",,,,18.0,
Taquara,Limão,"6,37",,,,30.0,
Taquara,Laranja,"1,81",,,,7.0,
Taquara,Manga,"1,01",,,,2.0,
Taquara,Pitaia,"0,45",,,,5.0,
Taquara,Caqui,"0,30",,,,1.0,
Taquara,Acerola,"0,20",,,,1.0,
Taquara,Vargem Bonita,"89,70",,,,,
Vargem Bonita,Banana,"22,95",,,,89.0,
Vargem Bonita,Abacate,"19,42",,,,50.0,
Vargem Bonita,Limão,"8,51",,,,57.0,
Vargem Bonita,Manga,"8,06",,,,67.0,
Vargem Bonita,Uva,"7,40",,,,7.0,
Vargem Bonita,Pitaia,"5,42",,,,13.0,
Vargem Bonita,Tangerina,"4,95",,,,35.0,
Vargem Bonita,Maracujá,"2,56",,,,11.0,
Vargem Bonita,Maracujá Pérola,"2,00",,,,4.0,
Vargem Bonita,Laranja,"1,47",,,,19.0,
